Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
serce,40%,all,NB,2,2,202,0.6087
serce,40%,all,XGBoost,2,1,101,0.7342
serce,40%,all,XGBoost,2,2,202,0.7322
serce,60%,raw,RF,1,1,101,0.595
serce,60%,raw,RF,1,2,202,0.5707
serce,60%,raw,NB,1,1,101,0.5127
serce,60%,raw,NB,1,2,202,0.504
serce,60%,raw,XGBoost,1,1,101,0.594
serce,60%,raw,XGBoost,1,2,202,0.5845
serce,60%,fill,RF,1,1,101,0.5309
serce,60%,fill,RF,1,2,202,0.5573
serce,60%,fill,NB,1,1,101,0.5703
serce,60%,fill,NB,1,2,202,0.6058
serce,60%,fill,XGBoost,1,1,101,0.5915
serce,60%,fill,XGBoost,1,2,202,0.5879
serce,60%,remove_fill,RF,1,1,101,0.5156
