Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
rezygnacje,30%,all_knn,NB,0.7291,0.0093,9
rezygnacje,30%,all_knn,RF,0.7628,0.0101,9
rezygnacje,30%,all_knn,XGBoost,0.7693,0.014,9
rezygnacje,30%,fill,MLP,0.5049,0.0119,9
rezygnacje,30%,fill,NB,0.5878,0.0221,9
rezygnacje,30%,fill,RF,0.7471,0.0096,9
rezygnacje,30%,fill,XGBoost,0.7652,0.0128,9
rezygnacje,30%,fill_knn,MLP,0.5055,0.0117,9
rezygnacje,30%,fill_knn,NB,0.5912,0.0225,9
rezygnacje,30%,fill_knn,RF,0.7231,0.007,9
rezygnacje,30%,fill_knn,XGBoost,0.7512,0.0106,9
rezygnacje,30%,fill_norm,MLP,0.5111,0.0289,9
rezygnacje,30%,fill_norm,NB,0.562,0.025,9
rezygnacje,30%,fill_norm,RF,0.747,0.0094,9
rezygnacje,30%,fill_norm,XGBoost,0.7652,0.0128,9
rezygnacje,30%,raw,MLP,0.5033,0.0086,9
rezygnacje,30%,raw,NB,0.5881,0.0217,9
rezygnacje,30%,raw,RF,0.7462,0.0142,9
rezygnacje,30%,raw,XGBoost,0.7667,0.0199,9
rezygnacje,30%,remove_fill,MLP,0.6114,0.037,9
rezygnacje,30%,remove_fill,NB,0.7275,0.0108,9
rezygnacje,30%,remove_fill,RF,0.7599,0.0096,9
rezygnacje,30%,remove_fill,XGBoost,0.7763,0.0095,9
rezygnacje,40%,all,MLP,0.6467,0.0456,9
rezygnacje,40%,all,NB,0.6857,0.0263,9
rezygnacje,40%,all,RF,0.7082,0.0201,9
rezygnacje,40%,all,XGBoost,0.7276,0.0153,9
rezygnacje,40%,all_knn,MLP,0.6346,0.0477,9
rezygnacje,40%,all_knn,NB,0.6873,0.0252,9
rezygnacje,40%,all_knn,RF,0.705,0.0173,9
rezygnacje,40%,all_knn,XGBoost,0.7044,0.0227,9
rezygnacje,40%,fill,MLP,0.4953,0.012,9
rezygnacje,40%,fill,NB,0.6006,0.0202,9
