Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
rezygnacje,30%,remove_fill,XGBoost,0.7763,0.0095,9
rezygnacje,40%,all,MLP,0.6467,0.0456,9
rezygnacje,40%,all,NB,0.6857,0.0263,9
rezygnacje,40%,all,RF,0.7082,0.0201,9
rezygnacje,40%,all,XGBoost,0.7276,0.0153,9
rezygnacje,40%,all_knn,MLP,0.6346,0.0477,9
rezygnacje,40%,all_knn,NB,0.6873,0.0252,9
rezygnacje,40%,all_knn,RF,0.705,0.0173,9
rezygnacje,40%,all_knn,XGBoost,0.7044,0.0227,9
rezygnacje,40%,fill,MLP,0.4953,0.012,9
rezygnacje,40%,fill,NB,0.6006,0.0202,9
rezygnacje,40%,fill,RF,0.7016,0.0201,9
rezygnacje,40%,fill,XGBoost,0.7211,0.0239,9
rezygnacje,40%,fill_knn,MLP,0.4998,0.0121,9
rezygnacje,40%,fill_knn,NB,0.6058,0.0185,9
rezygnacje,40%,fill_knn,RF,0.6698,0.0217,9
rezygnacje,40%,fill_knn,XGBoost,0.706,0.018,9
rezygnacje,40%,fill_norm,MLP,0.5314,0.0239,9
rezygnacje,40%,fill_norm,NB,0.5617,0.0159,9
rezygnacje,40%,fill_norm,RF,0.7016,0.0201,9
rezygnacje,40%,fill_norm,XGBoost,0.7211,0.0239,9
rezygnacje,40%,raw,MLP,0.4922,0.0155,9
rezygnacje,40%,raw,NB,0.599,0.0207,9
rezygnacje,40%,raw,RF,0.7023,0.0213,9
rezygnacje,40%,raw,XGBoost,0.7294,0.0188,9
rezygnacje,40%,remove_fill,MLP,0.5854,0.0402,9
rezygnacje,40%,remove_fill,NB,0.6856,0.0263,9
rezygnacje,40%,remove_fill,RF,0.7082,0.0201,9
rezygnacje,40%,remove_fill,XGBoost,0.7276,0.0153,9
rezygnacje,50%,all,MLP,0.5245,0.0146,9
rezygnacje,50%,all,NB,0.5847,0.0127,9
rezygnacje,50%,all,RF,0.6586,0.0082,9
rezygnacje,50%,all,XGBoost,0.6853,0.0049,9
rezygnacje,50%,all_knn,MLP,0.5201,0.0224,9
rezygnacje,50%,all_knn,NB,0.5842,0.0128,9
rezygnacje,50%,all_knn,RF,0.6271,0.0155,9
rezygnacje,50%,all_knn,XGBoost,0.6448,0.0115,9
rezygnacje,50%,fill,MLP,0.4984,0.0144,9
rezygnacje,50%,fill,NB,0.5836,0.0212,9
rezygnacje,50%,fill,RF,0.656,0.0167,9
rezygnacje,50%,fill,XGBoost,0.6932,0.0097,9
rezygnacje,50%,fill_knn,MLP,0.5007,0.0161,9
rezygnacje,50%,fill_knn,NB,0.5823,0.0207,9
rezygnacje,50%,fill_knn,RF,0.6206,0.0137,9
rezygnacje,50%,fill_knn,XGBoost,0.6486,0.0126,9
rezygnacje,50%,fill_norm,MLP,0.5033,0.0152,9
rezygnacje,50%,fill_norm,NB,0.5121,0.0081,9
rezygnacje,50%,fill_norm,RF,0.6559,0.0167,9
rezygnacje,50%,fill_norm,XGBoost,0.6932,0.0097,9
rezygnacje,50%,raw,MLP,0.4946,0.0163,9
rezygnacje,50%,raw,NB,0.5741,0.0147,9
rezygnacje,50%,raw,RF,0.6512,0.0196,9
rezygnacje,50%,raw,XGBoost,0.6883,0.0124,9
rezygnacje,50%,remove_fill,MLP,0.5077,0.0126,9
rezygnacje,50%,remove_fill,NB,0.5845,0.0133,9
rezygnacje,50%,remove_fill,RF,0.6589,0.0083,9
rezygnacje,50%,remove_fill,XGBoost,0.6853,0.0049,9
rezygnacje,ORYGINALNY,raw,MLP,0.6874,0.1446,3
rezygnacje,ORYGINALNY,raw,NB,0.6527,0.0074,3
rezygnacje,ORYGINALNY,raw,RF,0.9143,0.0033,3
rezygnacje,ORYGINALNY,raw,XGBoost,0.9165,0.0036,3
serce,10%,all,MLP,0.8499,0.0229,9
serce,10%,all,NB,0.8515,0.015,9
